populationDensity
Country Name,Country Code,Population Density (people per square km)
Guinea,GIN,57.1998087253785
"Gambia, The",GMB,260.520750988142
Guinea-Bissau,GNB,74.8765647226174
Equatorial Guinea,GNQ,64.297504456328
Greece,GRC,80.968828549263
Grenada,GRD,343.861764705882
Greenland,GRL,0.138046047021562
Guatemala,GTM,166.553536767451
Guam,GUM,305.888888888889
Guyana,GUY,4.17392430784862
High income,HIC,26.9476901284208
"Hong Kong SAR, China",HKG,
Honduras,HND,93.5192778621861
Heavily indebted poor countries (HIPC),HPC,46.0900782945962
Croatia,HRV,68.8999463902788
Haiti,HTI,417.402249637155
Hungary,HUN,105.680221345606
IBRD only,IBD,69.6300178791534
IDA & IBRD total,IBT,70.7284129427182
IDA total,IDA,73.8026057703626
IDA blend,IDB,135.546781529734
Indonesia,IDN,147.330175215419
IDA only,IDX,60.1297526450257
Isle of Man,IMN,147.6
India,IND,479.425536881262
Not classified,INX,
Ireland,IRL,74.9847583103498
"Iran, Islamic Rep.",IRN,55.1767309707242
Iraq,IRQ,101.515108447278
Iceland,ISL,3.78858474660319
Israel,ISR,
Italy,ITA,199.559268903016
Jamaica,JAM,262.155493998153
Jordan,JOR,126.768283893056
Japan,JPN,343.278433470508
Kazakhstan,KAZ,7.42105011667963
Kenya,KEN,95.3235776786028
Kyrgyz Republic,KGZ,36.3671506777894
Cambodia,KHM,97.4491502379334
Kiribati,KIR,161.072839506173
St. Kitts and Nevis,KNA,179.65
"Korea, Rep.",KOR,529.43205942623
Kuwait,KWT,257.555723905724
Latin America & Caribbean (excluding high income),LAC,32.9227719704604
Lao PDR,LAO,32.7513301559792
Lebanon,LBN,561.533626588465
Liberia,LBR,55.7858596345515
Libya,LBY,4.10550768950976
St. Lucia,LCA,293.083606557377
Latin America & Caribbean,LCN,32.5866637093114
Least developed countries: UN classification,LDC,55.7373421609796
Low income,LIC,48.6114450741019
Liechtenstein,LIE,246.83125
Sri Lanka,LKA,358.567733591982
Lower middle income,LMC,170.151178034747
Low & middle income,LMY,85.150427754208
Lesotho,LSO,75.3000658761528
Late-demographic dividend,LTE,52.2010767219358
Lithuania,LTU,45.2309596830873
Luxembourg,LUX,253.685433061691
Latvia,LVA,30.2005945685361
"Macao SAR, China",MAC,
St. Martin (French part),MAF,577.4
Morocco,MAR,83.6411920233027
Monaco,MCO,18680.9021113244
Moldova,MDA,88.0236014898876
Madagascar,MDG,52.3156772086628
Maldives,MDV,1747.02
Middle East & North Africa,MEA,44.5063117176661
Mexico,MEX,66.1607124668844
Marshall Islands,MHL,222.65
Middle income,MIC,93.7861813185617
North Macedonia,MKD,72.6293417922284
Mali,MLI,18.9090551471492
Malta,MLT,1660.971875
Myanmar,MMR,82.3644215300228
Middle East & North Africa (excluding high income),MNA,50.0823269833131
Montenegro,MNE,45.8894423791822
Mongolia,MNG,2.20464400171549
Northern Mariana Islands,MNP,100.169565217391
Mozambique,MOZ,41.5273099519316
Mauritania,MRT,4.73041331134181
Mauritius,MUS,632.209814722083
Malawi,MWI,218.166397963513
Malaysia,MYS,105.601865773855
North America,NAC,20.7555533303814
Namibia,NAM,3.50989566252475
New Caledonia,NCL,15.7069474835886
Niger,NER,19.9826107207705
Nigeria,NGA,245.013445765671
Nicaragua,NIC,55.9303141100216
Netherlands,NLD,525.719691119691
Norway,NOR,14.9809948664452
Nepal,NPL,207.292891524241
Nauru,NRU,590.05
New Zealand,NZL,19.4341270745509
OECD members,OED,39.0398024744114
Oman,OMN,15.2834442649435
Other small states,OSS,51.5717695365776
Pakistan,PAK,316.133077781237
Panama,PAN,59.3255998921542
Peru,PER,26.1526859375
Philippines,PHL,382.21262367106
Palau,PLW,38.6065217391304
Papua New Guinea,PNG,22.5305149494325
Poland,POL,120.297131562612
Pre-demographic dividend,PRE,51.7611956981529
Puerto Rico,PRI,363.034160090192
"Korea, Dem. People's Rep.",PRK,218.659953492235
Portugal,PRT,113.904957775507
Paraguay,PRY,17.0713596633508
West Bank and Gaza,PSE,
Pacific island small states,PSS,41.4037256430242
Post-demographic dividend,PST,35.8565331191719
French Polynesia,PYF,80.7772976087583
Qatar,QAT,231.273542210618
Romania,ROU,82.7907771210014
Russian Federation,RUS,8.80735653394086
Rwanda,RWA,553.345358735306
South Asia,SAS,405.08185831803
Saudi Arabia,SAU,14.9673785522564
Sudan,SDN,26.4364807280514
Senegal,SEN,91.6797538046019
Singapore,SGP,7851.00557103064
Solomon Islands,SLB,27.9051804215791
Sierra Leone,SLE,114.66898032696
El Salvador,SLV,303.104198841699
San Marino,SMR,562.583333333333
Somalia,SOM,28.3767924889215
Serbia,SRB,79.2537638244738
Sub-Saharan Africa (excluding high income),SSA,51.4469631683754
South Sudan,SSD,17.4405029038026
Sub-Saharan Africa,SSF,51.4509903312293
Small states,SST,27.283552144992
Sao Tome and Principe,STP,235.734375
Suriname,SUR,3.88245766041872
Slovak Republic,SVK,112.973211314476
Slovenia,SVN,104.888460698039
Sweden,SWE,25.7487256923983
Eswatini,SWZ,70.8672674418605
Sint Maarten (Dutch part),SXM,1239.38235294118
Seychelles,SYC,260.604347826087
Syrian Arab Republic,SYR,121.299321190747
Turks and Caicos Islands,TCA,48.26
Chad,TCD,14.6563818297332
East Asia & Pacific (IDA & IBRD countries),TEA,132.689192865033
Europe & Central Asia (IDA & IBRD countries),TEC,20.0754364569861
Togo,TGO,167.121492921493
Thailand,THA,140.412474309538
Tajikistan,TJK,73.3642337344189
Turkmenistan,TKM,15.3856808460835
Latin America & the Caribbean (IDA & IBRD countries),TLA,32.0247780918987
Timor-Leste,TLS,92.0843981170141
Middle East & North Africa (IDA & IBRD countries),TMN,49.4979244122932
Tonga,TON,145.891666666667
South Asia (IDA & IBRD),TSA,405.08185831803
Sub-Saharan Africa (IDA & IBRD countries),TSS,51.4509903312293
Trinidad and Tobago,TTO,266.238791423002
Tunisia,TUN,78.0080715756952
Turkiye,TUR,110.416580694619
Tuvalu,TUV,333.066666666667
Tanzania,TZA,73.0546635809438
Uganda,UGA,235.950124675843
Ukraine,UKR,70.8470245081118
Upper middle income,UMC,63.1293379310291
Uruguay,URY,19.3744314935436
United States,USA,36.4333780453942
Uzbekistan,UZB,79.2892236957962
St. Vincent and the Grenadines,VCT,261.65641025641
"Venezuela, RB",VEN,31.9857343688
British Virgin Islands,VGB,255.46
Virgin Islands (U.S.),VIR,301.18
Viet Nam,VNM,318.032648542413
Vanuatu,VUT,25.6805578342904
World,WLD,61.5946178083236
Samoa,WSM,77.4320143884892
Kosovo,XKX,
"Yemen, Rep.",YEM,72.395924010834
South Africa,ZAF,51.4210899438624
Zambia,ZMB,27.1095091405588
Zimbabwe,ZWE,41.5382086079876
